"id","title","description","due_date","status","doctor_id","assistant_id","created_by","clinic_id","created_at"
30,"3 b pastina","pastina en cocina","2025-09-04","completed",6,5,NULL,NULL,"2025-09-18 18:58:10.003987"
31,"2 b lavarropa","lavarropa pintar","2025-09-18","pending",6,5,NULL,NULL,"2025-09-18 18:58:57.332989"
32,"3 c lavarropa","pintar","2025-09-18","pending",6,5,NULL,NULL,"2025-09-18 18:59:36.487388"
33,"2 b baños","limpiar baños","2025-09-12","pending",6,5,NULL,NULL,"2025-09-18 19:00:29.439061"
34,"4 a limpieza","limpiar porcelanatos baños","2025-09-09","pending",6,5,NULL,NULL,"2025-09-18 19:01:10.567745"
35,"3 a bañadera","emprolijar","2025-09-04","pending",6,5,NULL,NULL,"2025-09-18 19:01:57.642668"
37,"prueba","jyuhdsgafjhfgdjhgfdjhsgtjuhdsgfef","2025-09-18","cancelled",6,6,NULL,NULL,"2025-09-18 20:07:23.422197"
38,"1 a PASTINA","pastinar PISO","2025-09-19","completed",6,5,NULL,NULL,"2025-09-19 15:29:38.197211"
39,"LLaamar a Cecilia por posible interesado de deptos al pozo","gestion comerciual","2025-09-19","completed",6,9,NULL,NULL,"2025-09-19 15:31:53.776755"
40,"1 C ENDUIDO","ERNDUIDO A VENTANA DEL CUARTO","2025-09-19","completed",6,5,NULL,NULL,"2025-09-19 17:41:37.063707"
41,"1 B ENDUIDO","ENDUIDO A VENTANA","2025-09-19","completed",6,5,NULL,NULL,"2025-09-19 17:43:19.384974"
42,"LIMPIEZA 5TO PISO","LIMPIAR OFICINA","2025-09-19","pending",6,5,NULL,NULL,"2025-09-19 17:51:44.733504"
43," 4 a techo","limpiar manchas en techo de habitación principal del lado de la cabecera ","2025-09-22","pending",6,5,NULL,NULL,"2025-09-22 14:11:58.704048"
44,"4 a","arreglar el zocalo inferiopr del ventanal de living","2025-09-22","pending",6,18,NULL,NULL,"2025-09-22 14:13:04.889157"
45,"4 c pastinar","pastrinar piso living y habitacion","2025-09-24","pending",6,5,NULL,NULL,"2025-09-24 13:47:06.204792"
46,"4 c Pintar ","encima de extractador","2025-09-24","pending",6,5,NULL,NULL,"2025-09-24 13:48:06.855202"
47,"4 c lijar","emprolijar viga de habitacion","2025-09-24","pending",6,24,NULL,NULL,"2025-09-24 13:51:49.183991"
48,"4 c clavoi","sacar clavo del techo y emprolijar","2025-09-24","pending",6,24,NULL,NULL,"2025-09-24 13:52:26.012381"
49,"4 c","emprolijar viga con pared living","2025-09-24","completed",6,5,NULL,NULL,"2025-09-24 13:54:43.912711"
50,"4 c emproliojar","emprolijar pared dfe habitacion","2025-09-24","pending",6,5,NULL,NULL,"2025-09-24 13:55:39.418806"
51,"4 c  zocalo","arreglar zocalo debajo de venmtanal del living","2025-09-24","completed",6,25,NULL,NULL,"2025-09-24 13:58:36.500042"
52,"4 c premarcops","revisar terminación de premarcos","2025-09-24","pending",6,5,NULL,NULL,"2025-09-24 13:59:42.241057"
53,"3 c  pintar","pintar debajo de ventanal del living","2025-09-24","pending",6,10,NULL,NULL,"2025-09-24 14:01:39.473851"
54,"3 c","lijar viga de habitación","2025-09-24","pending",6,20,NULL,NULL,"2025-09-24 14:02:34.027685"
55,"3 c  enduido","poner enduido ensima de ventanal de habitacion princvipal","2025-09-24","pending",6,10,NULL,NULL,"2025-09-24 14:03:53.552784"
56,"1 a pintura","emproliojar pintura habitacion y living","2025-09-24","pending",6,20,NULL,NULL,"2025-09-24 14:36:31.490999"
57,"3 a  enduido","emportliojar ventana Habitacion enduido","2025-09-24","pending",6,20,NULL,NULL,"2025-09-24 14:37:24.992896"
58,"tarea asignada por stefy","probando la tarea nueva asignada por stefy","2025-09-30","pending",6,6,13,NULL,"2025-09-28 00:30:29.678434"
